id,label
http://metadata.un.org/thesaurus#1000411,ascariasis
http://metadata.un.org/thesaurus#1002864,helminthic diseases
http://metadata.un.org/thesaurus#1000414,asian americans
http://metadata.un.org/thesaurus#1004179,minorities
http://metadata.un.org/thesaurus#1000420,asparagus
http://metadata.un.org/thesaurus#1000427,assyrians
http://metadata.un.org/thesaurus#1006347,syriac christians
http://metadata.un.org/thesaurus#1000436,athletes
http://metadata.un.org/thesaurus#1000445,aubergines
http://metadata.un.org/thesaurus#1000453,australian aborigines
http://metadata.un.org/thesaurus#1003106,indigenous peoples
http://metadata.un.org/thesaurus#1000454,australians
http://metadata.un.org/thesaurus#1000452,australia
http://metadata.un.org/thesaurus#1000456,austrians
http://metadata.un.org/thesaurus#1000455,austria
http://metadata.un.org/thesaurus#1000472,average (maritime law)
http://metadata.un.org/thesaurus#060400,water transport and shipping
http://metadata.un.org/thesaurus#1005877,shipping insurance
http://metadata.un.org/thesaurus#1000478,avocados
http://metadata.un.org/thesaurus#1000491,bahamians
http://metadata.un.org/thesaurus#1000490,bahamas
http://metadata.un.org/thesaurus#1000493,bahrainis
http://metadata.un.org/thesaurus#1000492,bahrain
http://metadata.un.org/thesaurus#1000513,bangladeshis
http://metadata.un.org/thesaurus#1000512,bangladesh
http://metadata.un.org/thesaurus#1000531,barbadians
http://metadata.un.org/thesaurus#1000532,barbados
http://metadata.un.org/thesaurus#1000534,bareboat charters
http://metadata.un.org/thesaurus#1005876,shipping contracts
http://metadata.un.org/thesaurus#1000536,barite
http://metadata.un.org/thesaurus#1006284,sulphates
http://metadata.un.org/thesaurus#1000538,barley
http://metadata.un.org/thesaurus#1001051,coarse grains
http://metadata.un.org/thesaurus#1000539,barrier islands
http://metadata.un.org/thesaurus#030103,land forms and ecosystems
http://metadata.un.org/thesaurus#1003433,islands
http://metadata.un.org/thesaurus#1000561,belarusian language
http://metadata.un.org/thesaurus#1005925,slavic languages
http://metadata.un.org/thesaurus#1000562,belarusians
http://metadata.un.org/thesaurus#1000560,belarus
http://metadata.un.org/thesaurus#1000563,belgians
http://metadata.un.org/thesaurus#1000564,belgium
http://metadata.un.org/thesaurus#1000566,belizeans
http://metadata.un.org/thesaurus#1000565,belize
http://metadata.un.org/thesaurus#1000569,bengali language
http://metadata.un.org/thesaurus#1003102,indic languages
http://metadata.un.org/thesaurus#1000571,beninese
http://metadata.un.org/thesaurus#1000570,benin
http://metadata.un.org/thesaurus#1000572,bentonite
http://metadata.un.org/thesaurus#1001023,clay
http://metadata.un.org/thesaurus#1000573,benzene
http://metadata.un.org/thesaurus#1003014,hydrocarbons
http://metadata.un.org/thesaurus#1000574,benzodiazepines
http://metadata.un.org/thesaurus#1006627,tranquillizing drugs
http://metadata.un.org/thesaurus#140401,narcotic drugs
http://metadata.un.org/thesaurus#1000575,berber languages
http://metadata.un.org/thesaurus#1002815,hamitic languages
http://metadata.un.org/thesaurus#1000577,berlin question
